ulasan,rating,tanggal,kategori,nama_aplikasi,app_id,label,confidence,label_original
"Tampilan toko tidak proporsional, semuanya jumbo jumbo hingga menutup tipografi nama dan harga barang, untuk tampilan produk sudah bagus, device ipad",3,2026-07-30 11:12:56-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9837701320648193,netral
"Jangan pake kartu kalo belanja, data saya KENA SCAM",1,2026-07-30 02:28:43-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.992196798324585,negatif
Terlalu banyak bugs,1,2026-07-30 00:21:43-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9980759620666504,negatif
ga bisa dipake vouchernya kalo ga niat kasih ga usah adain voucher nya,1,2026-07-30 00:08:55-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9600365161895752,negatif
Search function not working,1,2026-07-29 23:29:20-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.860863983631134,negatif
"Integrasi makin jelek, promo untuk pembayaran tertentu di hilangkan, di iphone versi lama dan perangkat android masih ada.. efek phk kah ? 🤡",1,2026-07-29 21:41:58-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9961493015289307,negatif
"Sebelumnya ketika seller gagal kirim kita bisa tarik dana ditransfer ke rekening sekarang harus verifikasi ktp dan Selfi, ribet ini aplikasi padahal ditarik dari akun yang sama",1,2026-07-29 19:56:09-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8360744714736938,negatif
Bagus dan sangat membantu,5,2026-07-29 18:24:54-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9943481087684631,positif
Setelah update diskon pembayaran menghilang. Perbaikan cepat ditunggu,2,2026-07-29 18:24:12-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.7868809103965759,negatif
Mantab,5,2026-07-29 09:53:39-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9971135854721069,positif
"pengguna baru mau pake diskon selalu muncul 'promo tidak berlaku' udh berkali' nyoba ttp gabisa, emg paling bnr apk sebelah!!!",1,2026-07-28 20:01:38-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9691981673240662,negatif
Tokopedia kurang cepat & sangat menyepelekan masalah / kasus yang dihadapi oleh customer,1,2026-07-28 19:52:01-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9611725211143494,negatif
bagus,5,2026-07-28 11:39:14-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9961093068122864,positif
Telat bayar sehari pake gopay cuma seratusan ribu krn lupa tetapi diteror terus ditelp dan diancam. Semoga kena karma suatu saat gulung tikar,1,2026-07-28 09:00:58-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9962974190711975,negatif
semenjak update aplikasi promo bank dan promo metode pembayaran malah ga muncul. tolong diperbaiki,1,2026-07-28 08:42:22-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8844572305679321,negatif
"Gets laggy the more you use it, phone gets hot, crashes and freezes often",1,2026-07-28 06:49:42-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.4937736392021179,negatif
Top,5,2026-07-28 05:04:44-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9970552921295166,positif
Besttttttt,5,2026-07-27 22:49:49-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9968050718307495,positif
"Harus banget nih videonya autoplay dengan sound on? Tanpa ada opsi untuk disable fitur itu? Akibatnya saya gak bisa browse Tokopedia sambil dengerin lagu. Scroll dikit musik tiba2 berhenti. 
Developer pakai aplikasi ini gak sih sbenernya?",1,2026-07-27 18:14:51-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9288675785064697,negatif
mantull,4,2026-07-27 17:40:49-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9949043989181519,positif
apk taekk voucher ra kenk digae jan enek ae masalahe gj,1,2026-07-27 12:40:36-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9947985410690308,negatif
Penanganan masalah cepat. Simple to use.,5,2026-07-27 12:29:54-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.7803855538368225,positif
"UDAH GA JELAS NI APPS SEKARANG YAA!!! NTAH APA YANG TERJADI SAMA NI APPS!! BERTAUN2 PAKE NI APPS UDA PALING BENER. HARI INI BENER2 KEJADIAN TERSAMPAH YANG NUNJUKIN NI APPS SAMA PERUSAHAAN NYA UDA GA SAMA LAGI! PESEN OPSI INSTANT TANPA ADA OPSI KURIR LOGISTIK NYA, NORMAL NYA PAKE GOSEND, TIBA2 DIANTER PAKE LOGISTIK SUPER SAMPAH NAMA NYA ANTERAJA!!! PESEN INSTANT JAM 9 PAGI SAMPE JAM 10 MALEM, DAN KURIR NYA BILANG PAS NGANTER, INI SAMEDAY BUKAN INSTANT?!?!!?!?! SAMEDAY AJA GA SELAMA INI TOLOLLLL!!!",1,2026-07-27 07:48:22-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9857884049415588,negatif
Sistem search rusak. Malah kebanyakan video kaya sopi,1,2026-07-27 07:10:06-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.997585654258728,negatif
sumpah ini tokped ngeselin banget si! tiap mau payment ke refund! abistu mau chekout lgi gabisa karna promo gabisa dipake,1,2026-07-27 06:22:53-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9303373098373413,negatif
Sangat cepat,5,2026-07-27 03:36:22-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9941196441650391,positif
Terjadi bug pada tampilan daftar bank di halaman penarikan Saldo Refund. Nama bank tidak ditampilkan dan malah muncul internal translation key seperti pipo_payment_bankaccount_id_bank_code_ID155.,1,2026-07-27 03:05:07-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.5737266540527344,negatif
Very nice,5,2026-07-27 00:18:56-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9920335412025452,positif
aplikasi perampok uang seller,1,2026-07-26 22:54:01-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9907446503639221,negatif
"Apalah nih aplikasi saya cek out udah bayar terus malah di batalkan otomatis oleh sistem, otomatis refund di saldo tokped nah terus gabisa di tarik gajelas banget ampas",5,2026-07-26 22:05:14-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9971581697463989,positif
"benerin fitur nya, org lg denger musik buka aplikasi tokped malah stop musik aneh.",1,2026-07-26 19:29:04-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9246473908424377,negatif
Setelah upgrade malah lemot,1,2026-07-26 18:13:48-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9980533123016357,negatif
"biasa dpt ongkir smpe berlapis lapis , udh disc ongkir , eh dpt juga disc potongan gtu , skrg , udh gd samsek, pdhl kmrin kmrin lebih sering kepake ijo dari tokped karena biasa emg lebih murah , skrg balik lg deh ke orens.",1,2026-07-26 12:25:11-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.7470611929893494,negatif
bulsiit SAMEDAY ATAU BULSIT DAY MANA BARANG GUA GA NYAMPE NYAPE BUSET DAH UDH BERAPA HARI INI… BARANG URGENT RELA BAYAR SAMDAY UJUNG NYA BERHARI HARI TAU GITU MENDING DI TOKO SEBELAH,1,2026-07-26 08:14:39-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.7283002734184265,negatif
Saldo refund ditahan gk bisa ditarik. Verifikasi diri sudah berhasil tapi tetap gk bisa tarik saldo refund. Saldo refund nya gk bisa dipake untuk transaksi lain ketahan padahal yg cancel penjualnya. Sudah kontak tim bantuan tapi jawaban bertele2 dan tidak ada solusi,1,2026-07-26 05:26:34-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9946786165237427,negatif
mntep,5,2026-07-25 23:56:56-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.8989258408546448,positif
"Aplikasi tokopedia gamau tanggung jawab mengenai masalah cust. keamanan akun juga jelek. cust ada masalah, malah melempar tanggung jawab ke cust.",1,2026-07-25 09:48:24-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9978686571121216,negatif
Mantabss,5,2026-07-25 06:27:59-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9972671270370483,positif
semenjak dibeli toktok aplikasinya makin ribet sampah,1,2026-07-25 01:12:45-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9969814419746399,negatif
"Aplikasi yahudi, bikin promo tapi gabisa dibeli, pembayaran tidak berhasil mulu. Ampass!",1,2026-07-25 01:12:12-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9926818013191223,negatif
Ok,4,2026-07-24 21:16:03-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9444045424461365,positif
Tokcer,5,2026-07-24 18:58:46-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9933122992515564,positif
Toko pedia mantap,5,2026-07-24 12:47:10-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9962683916091919,positif
"Kerja sama bareng tiktod malah makin nda beres nih tokped. Bukan nya malah bener. 
Mau check out/masukin keranjang malah gak bisa. Minta ubah alamat. Udah di ubah di edit, juga ga bisa. Padahal udah ratusan kali alamat yg sama di pakai. Aneh lu tokped 
Makin gak beres. Padahal aplikasi recomed ketimbang aplikasi orange. 
Makin kerja sama sama tiktod malah makin buruk.
Aplikasi nya makin ga beres",1,2026-07-24 10:50:31-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9959208965301514,negatif
OK OK,5,2026-07-24 02:38:17-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.8269245624542236,positif
Pelayanan customer service sangat membantu belanja aman jualan juga aman Trima kasih tokopedia,5,2026-07-23 21:48:38-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9828489422798157,positif
"comfort zone gw utk nyari perintilan as a vaper jadi susah nemuinnya, ketik ini ketik itu kek hilang semuanya pas dipencarian, mana produk dari toko langganan banyak artikelnya dihapus hadehh , utk org introvert yg malas temu org pdh bantu bgt , ini malah jadi persulit aelah.",2,2026-07-23 15:28:50-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9952743053436279,negatif
Knapa barang” terlarang di jual bebas di apk ni,1,2026-07-23 14:50:15-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.6659882664680481,negatif
Perbaiki lagi ya min aplikasi kalian,1,2026-07-23 07:16:31-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9506856799125671,negatif
Promo tidak bisa dipakai,1,2026-07-23 04:39:22-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9809070229530334,negatif
TOP,5,2026-07-23 04:24:00-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9970552921295166,positif
Makin payah aja app nya,1,2026-07-22 22:58:30-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9978933930397034,negatif
Sangat bagussss,5,2026-07-22 22:15:53-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9967202544212341,positif
"Jaringan saya full 5G. Mau manajemen setting profil ilang""an interface nya. Aplikasi rasa web. Mau unbind gmail dan ganti no telp aja ga bisa, alhasil kalo mau pake buat akun lain gmail sma nomornya ga bisa. Sangat"" bad. Langsung uninstall skrg juga. Kalo pihak tokped baca silakan hapus gmail saya dri aplikasi anda!",1,2026-07-22 21:11:12-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9537249803543091,negatif
Mantaap,5,2026-07-22 17:22:30-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9962055683135986,positif
pembayaran sudah dilakukan tapi pemesanan dibatalkan. Uang di refund dan masuk ke dana tokped. TAPI SANGAT SUSAH DITARIK,1,2026-07-22 08:19:46-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.994023859500885,negatif
Jozzzzz,5,2026-07-22 03:54:16-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9790300130844116,positif
Pengembalian dana repot,1,2026-07-22 03:22:25-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9916694164276123,negatif
TERBAIK !,5,2026-07-22 00:38:47-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9935550093650818,positif
"udah banyak seller nipu dan toko ga jelas, ditambah mau refund uang dari transaksi yang dibatalin aja mesti pake e ktp padahal saya buyer bukan seller, iniaplikasi jual beli online apa mau jadi aplikasi pinjol yang apa apa pake ktp makin kesini makin bodoh.",1,2026-07-22 00:16:17-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.998083233833313,negatif
Good performance,5,2026-07-21 22:46:17-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9933231472969055,positif
Belanja aman,4,2026-07-21 22:13:30-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9931928515434265,positif
"ada bug yang terus menerus memunculkan notifikasi pesan, padahal semua pesan telah terbaca",1,2026-07-21 21:20:43-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8444730043411255,negatif
Sering bngt apps nya error. Akhirnya blanja di apps lainnya yg jarang error. Sayang bngt lost opportunity dlm 1x error bisa ratusan juta loh,4,2026-07-21 20:30:06-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.7568831443786621,positif
"Sangat puas, banyakin gratis ongkir",5,2026-07-21 19:31:31-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.995180606842041,positif
"Fitur pencarian saat sudah masuk dalam toko, tdk berfungsi dengan baik. Mohon diperbaiki",2,2026-07-21 19:22:27-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8346801996231079,negatif
"Sebagai pembeli ok, tapi sebagai rekber tidak rekomen. Seharusnya penilaian dokumentasi saat unboxing lalu memperagakan alat adalah barometer utama, tapi tidak berlaku di tokopedia.",2,2026-07-21 18:57:27-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9172910451889038,negatif
mau pakai diskon pengguna baru kok diskonnya gabisa di pencet atau di paker gamau rugi apa gimana😂,1,2026-07-21 18:55:45-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9865907430648804,negatif
Keren,5,2026-07-21 15:45:58-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9971580505371094,positif
Gimana bisa tbtb saldo hilang setelah uang refund. Ini kerjasama dg kriminal apa gimana? Kacau!!,1,2026-07-21 07:09:55-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9977826476097107,negatif
"Pesen instant, dapat kurir blitz (mkgn kurir jadi2an baru setelah Tokped dibabat TikTok) pesen dari jam 11 siang, jam 19 lom sampe. Lah buat apa Instant? Goodbye TikTok",1,2026-07-21 04:52:08-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.5050912499427795,negatif
serba ribet,1,2026-07-21 00:38:17-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9875667095184326,negatif
"Baru kali ini order barang di tokped dan sudah proses bayar tiba"" dibatalkan system sepihak namun hilang history serta uang tidak terefund. Laporan malah tidak ada kejelasan",1,2026-07-20 21:41:22-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9884877800941467,negatif
Potongan power merchant terlalu besar,1,2026-07-20 20:48:42-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9964615702629089,negatif
"Paling males kalo ada pesanan yg di batal kan ,kenapa gak langsung masuk ke saldo gopay ajah siih malah harus ke saldo tokped gak jelas ,gak kaya aplikasi sebelah gak pending2 apa lg di atas jam 11 malem kalo lg butuh bikin naik darah",1,2026-07-20 10:12:51-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9895989894866943,negatif
Thanks,5,2026-07-20 09:23:11-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9761842489242554,positif
Gak jadi beli,5,2026-07-19 22:26:24-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.6424199938774109,positif
apk banyak bug,1,2026-07-19 21:26:44-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9963860511779785,negatif
"Selalu crash pada ipad ios, baru scroll gak lama force close",2,2026-07-19 20:45:39-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9845595955848694,negatif
"- Customer service AI tidak membantu (the worst cs ever) dan customer service yang manusia lamaaaa sekali untuk balas. Bahkan yang di x tidak balas sama sekali. Gak tau pada ke mana, kena PHK apa gimana?

- Saya juga mulai meragukan keamanannya karena tidak bisa mengecek device mana saja yang terlogin di akun kita. Cuma disarankan ganti password.

- saya pengguna TokopediaCard. Sering banget ngebug, salah satunya setelah saya meminta kartunya di blokir. Dari pihak bank sudah terblokir permanen, tapi di aplikasi malah masih aktif statusnya.

Ya segitu aja, karena segitu aja pun paling ga dibaca. Dan balasannya template seperti customer service l-nya.",1,2026-07-19 19:28:27-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9910593628883362,negatif
"Punya pengalaman buruk dengan seller nakal, pihak tokopedia tidak bertanggung jawab, respon lambat pengalaman dan pengalaman mengunakan app semakin rumit",2,2026-07-19 19:21:14-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.997040331363678,negatif
Excellent service,5,2026-07-19 04:02:30-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9824441075325012,positif
gagal bayar terus tolol,1,2026-07-19 03:55:35-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9983311295509338,negatif
"Saya sangat kecewa dengan proses penarikan saldo Tokopedia. Saldo saya sudah terpotong sejak 18 Juli 2026 pukul 10.24 WIB, namun hingga saat ini dana belum masuk ke rekening dan status masih ‘Sedang diproses’. Saya sudah membuat tiket, tetapi belum ada perkembangan. Keterlambatan seperti ini sangat merugikan pelanggan karena dana saya tertahan tanpa kepastian.",1,2026-07-18 22:53:43-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9816716313362122,negatif
Tarik saldo refund erorr mulu,1,2026-07-18 16:03:03-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9970577955245972,negatif
"PERCUMA MURAH KAO GA BISA FI CEKOUT TAIII, GW UDAH VERIFIKASI AKUN TETEP AJAA AKUN TIDKA MEMENUHI SYARAT MAKSUD NYA APAAAN LAHHHHH",1,2026-07-18 11:31:04-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9970802664756775,negatif
Mau retur ribet sampe nunggu 9 hari alhasil gabisa,1,2026-07-18 07:57:17-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8736711740493774,negatif
Gak niat ngasih promo ribet,1,2026-07-18 07:41:52-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9962596893310547,negatif
"Ga ush blanja di tokopedia ya,
Klaim garansi y susah ga ada kejelasan tanggal y
Saya beli tv pecah udh 2 minggu ga ada kejelasan mnding blanja di shopee gampang klaim garansi y ga kaya tokopedia",1,2026-07-18 05:03:04-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9340783357620239,negatif
"selalu begini lagi error dan error,dulu aplikasi ini sebelum diambil tiktok bagus.
Sekarang diambil tiktok jadi ampas banget..
KECEWA!!!!!!!",1,2026-07-18 02:09:35-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9978255033493042,negatif
"KOCAK KOCAK SALDO GW ANJIR NYANGKUT DI SALDO TOKOPEDIA PENGEN DITARIK HARUS VERIFIKASI DULU SIALAN, PADAHAL TUH SALDO REFUND ANJING LAH. KURANG BANGET KEBIJAKANNYA, HARUSNYA KALAU SALDO REFUND GAUSAH VERIFIKASI ANJING BIKIN RIBET LAGIAN YANG SALAH SELLER NYA, DIBATALIN SISTEM KARENA GA DIKIRIM” 🐒",2,2026-07-17 23:06:01-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9592536687850952,negatif
"fitur non aktif play konten otomatis harus disematkan

ketika memutar musik atau youtube membuat terjeda dan sanggat mengganggu
dan membuat boros data ketika menggunakan kuota",2,2026-07-17 20:14:40-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9481726884841919,negatif
Pengembalian dana untuk barang yang di cancel penjual harus verify identity. keamanan dan ganti rugi bila ada kebocoran data tidak dijelaskan dalam S&K. ketemtuan hanya dijelaskan dalam tiktok privacy policy yang hanya omong kosong. mending marketplace P2P deh.,1,2026-07-17 17:37:42-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9863193035125732,negatif
Tarik mudah dan cepat banget,5,2026-07-17 03:51:28-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9941640496253967,positif
jelek ui/ux nya dan pembayaran jadi lemot sekali,1,2026-07-17 00:08:16-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9980915188789368,negatif
diskon PLUS semakin mahal,1,2026-07-16 22:33:29-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9948543906211853,negatif
"Notifikasi muncul terus, seolah-olah ada yang belum dibaca, padahal sudah dibaca semua dan sudah pencet tombol real all sampai ada pop up readed all. Khususnya dibagian review produk, selalu muncul sampai sekian hari dan tidak bisa di clear notifnya",1,2026-07-16 18:23:15-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.6344318389892578,negatif
Fitur pencarian dalam toko tidak akurat setelah update,3,2026-07-16 17:53:58-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9824199676513672,netral
"refund gk d terima aplikasi babi 
terakhir gua pake ni",1,2026-07-16 17:28:50-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.930618405342102,negatif
Uang saya nyantol disini,1,2026-07-16 10:02:16-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9955726861953735,negatif
So far so good sih,5,2026-07-16 07:54:54-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9928140044212341,positif
"Ui/ux dan journey kliennya nyaman, keep it up !",5,2026-07-16 07:26:15-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9873999357223511,positif
"Versi 44.8.1 under ios tidak bisa bekerja dengan baik. Sering auto close, search tidak bisa bekerja dengan baik.",2,2026-07-16 05:45:02-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9888370037078857,negatif
Worst,1,2026-07-16 05:03:48-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9882994890213013,negatif
"Hati2 jika melakukan transaksi di aplikasi ini jika berada diluar pulau jawa, apabila barang yg dibeli berukuran besar dan berat, dan mau dilakukan pengembalian karena barang tdk sesuai atw lecet, metode pick up dan drop point (reguler/gratis) hanya mencover barang yg ringan. Otomatis pengembalian barang tersebut harus melalui pilihan kurir lain yg ongkirnya ditanggung pembeli terlebih dahulu dan yg bisa dklaim ke Pihak tokopedia hanya sebesar nominal ongkir awal.
Secara otomatis mereka tdk mau kita melakukan pengembalian. 
Jika tetap mau melakukan pengembalian kelebihan biaya ongkir tersebut ditanggung pembeli.",1,2026-07-16 03:58:35-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.7565667629241943,negatif
Tapi mau daptar susah banget liat tutor di Ytb beda sama apk yang sekarang hadeuhhh ampun deh tadinya mau majuin lokal ternyata susah,1,2026-07-16 00:06:35-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.994167685508728,negatif
"TOKOPEDIA TIDAK PEDULI?
TIDAK PEDULI WALAUPUN MASA GARANSI, CUMA BANTU FOLLOWUP/DITERUSKAN/DIUPDATE.",1,2026-07-15 21:58:21-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9731652140617371,negatif
Keren bs split payment,3,2026-07-15 20:48:23-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.994093120098114,netral
sangat relevan,1,2026-07-15 20:42:25-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9840923547744751,negatif
Sampah aplikasi tolol,1,2026-07-15 11:31:43-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.998143196105957,negatif
